Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,745.0,745.5,725.3,732.05,736.1,19413.0,143.16
2017-08-23,743.35,752.75,739.05,740.0,740.95,9989.0,74.4
2017-08-22,751.7,767.0,740.0,741.1,743.35,20531.0,154.66
2017-08-21,765.5,773.0,749.55,751.1,751.7,11102.0,84.27
2017-08-18,773.75,776.0,748.7,770.2,773.35,20999.0,161.78
2017-08-17,747.95,780.0,741.05,777.0,775.75,44351.0,339.84
2017-08-16,738.1,750.0,738.1,743.0,741.75,18117.0,134.87
2017-08-14,726.3,743.0,726.3,737.0,738.05,11650.0,85.89
2017-08-11,735.0,800.0,724.55,740.0,737.5,23821.0,178.56
2017-08-10,760.0,777.75,740.0,744.35,746.35,13667.0,103.14
2017-08-09,771.0,779.05,760.0,760.05,763.4,12303.0,94.64
2017-08-08,779.0,780.0,770.05,777.0,777.05,17131.0,133.04
2017-08-07,775.5,780.0,770.1,775.0,779.45,18023.0,139.99
2017-08-04,778.45,778.45,765.0,775.0,775.0,15294.0,118.09
2017-08-03,775.7,780.45,760.0,774.5,778.45,35079.0,271.62
2017-08-02,774.0,778.0,768.0,768.1,772.15,16829.0,130.36
2017-08-01,766.0,780.0,759.95,773.0,774.95,61371.0,474.67
2017-07-31,760.0,766.0,760.0,766.0,764.3,23669.0,180.6
2017-07-28,770.0,774.9,759.0,760.0,762.2,75790.0,577.23
2017-07-27,770.4,775.0,758.2,767.5,767.35,69016.0,526.75
2017-07-26,771.0,784.0,763.05,770.0,770.4,104644.0,814.27
2017-07-25,765.0,780.0,765.0,772.5,770.15,53100.0,408.87
2017-07-24,768.0,781.1,750.0,763.3,764.5,57680.0,441.47
2017-07-21,779.05,779.95,761.0,770.0,768.3,59267.0,455.73
2017-07-20,790.0,791.95,780.0,785.0,784.25,24191.0,189.55
2017-07-19,786.7,792.65,786.7,790.0,790.05,83740.0,661.51
2017-07-18,772.5,793.8,771.1,784.75,786.05,24089.0,188.66
2017-07-17,774.55,779.95,771.5,775.0,773.5,19288.0,149.32
2017-07-14,782.1,790.0,779.0,779.05,780.1,24248.0,189.97
2017-07-13,788.0,795.75,783.1,789.0,786.1,28646.0,225.79
2017-07-12,786.0,791.0,785.7,785.7,787.15,16588.0,130.73
2017-07-11,788.15,799.45,785.0,785.0,785.35,22549.0,177.92
2017-07-10,787.5,791.95,785.0,790.0,787.55,3550.0,27.96
2017-07-07,786.0,798.0,783.05,792.1,795.85,34789.0,276.1
2017-07-06,798.0,804.75,786.5,786.7,788.75,19303.0,153.27
2017-07-05,789.0,802.0,780.0,796.05,798.25,72050.0,569.91
2017-07-04,787.0,796.25,784.0,785.0,785.2,26303.0,207.4
2017-07-03,789.1,793.85,783.75,787.55,789.85,28480.0,225.03
2017-06-30,786.2,804.0,777.1,789.0,788.75,34206.0,270.3
2017-06-29,807.5,809.3,783.85,786.0,786.2,50169.0,397.23
2017-06-28,783.1,805.15,783.1,787.0,789.9,89654.0,710.67
2017-06-27,796.4,806.65,781.3,784.0,783.85,90164.0,715.77
2017-06-23,800.0,822.4,800.0,807.5,806.85,82985.0,670.55
2017-06-22,831.9,842.0,811.25,823.0,817.95,52127.0,433.51
2017-06-21,817.5,834.85,815.0,834.85,828.15,26124.0,215.19
2017-06-20,822.05,835.0,810.0,817.6,822.85,26481.0,219.71
2017-06-19,802.0,835.0,792.6,823.0,826.45,121016.0,999.69
2017-06-16,805.35,809.0,792.65,803.95,803.95,28281.0,227.2
2017-06-15,795.0,809.6,787.2,805.0,805.35,76282.0,608.71
2017-06-14,800.0,800.0,786.0,791.8,791.55,17016.0,135.35
2017-06-13,790.0,800.0,784.35,795.0,796.45,59736.0,474.94
2017-06-12,794.0,802.8,782.85,785.9,789.05,17027.0,135.4
2017-06-09,793.7,803.7,785.3,800.0,800.35,32370.0,258.86
2017-06-08,788.85,803.0,788.85,793.5,793.25,43011.0,342.42
2017-06-07,784.0,806.0,780.5,806.0,802.15,129135.0,1033.44
2017-06-06,782.0,793.95,778.9,787.4,786.5,22018.0,172.86
2017-06-05,780.0,795.0,777.45,782.05,782.85,15958.0,125.55
2017-06-02,797.45,803.0,781.0,783.0,783.9,24057.0,190.23
2017-06-01,800.4,809.0,786.6,791.55,792.1,39176.0,313.54
2017-05-31,775.0,808.65,768.75,801.0,800.6,294100.0,2344.24
2017-05-30,777.0,784.15,762.0,762.25,767.9,25420.0,197.16
2017-05-29,785.0,795.15,772.1,776.0,775.2,54667.0,426.58
2017-05-26,790.0,799.0,787.1,795.0,796.35,61208.0,487.45
2017-05-25,776.0,795.0,776.0,793.0,788.4,36242.0,284.73
2017-05-24,774.25,793.0,772.0,777.0,775.1,84767.0,662.78
2017-05-23,779.1,790.0,766.0,772.0,772.9,48272.0,373.89
2017-05-22,765.35,788.0,765.35,780.0,781.15,69383.0,542.56
2017-05-19,783.0,785.0,761.25,777.7,774.25,42279.0,326.22
2017-05-18,767.3,785.7,766.0,776.25,776.65,58734.0,456.79
2017-05-17,777.0,780.0,770.35,775.35,777.95,91355.0,709.66
2017-05-16,763.0,775.0,755.5,772.5,773.2,103084.0,795.07
2017-05-15,756.0,770.0,756.0,761.05,763.15,141963.0,1086.53
2017-05-12,735.5,765.0,735.5,751.2,755.85,119771.0,902.23
2017-05-11,752.0,752.05,742.0,747.3,747.65,57039.0,426.32
2017-05-10,750.0,754.2,745.6,752.0,751.4,96324.0,723.14
2017-05-09,741.15,751.7,740.0,746.1,748.4,95328.0,711.66
2017-05-08,736.0,748.3,736.0,741.1,741.15,128390.0,953.39
2017-05-05,716.0,745.0,716.0,733.5,733.2,337812.0,2474.55
2017-05-04,710.0,719.8,705.0,708.25,708.9,21383.0,152.02
2017-05-03,705.55,718.0,705.55,709.3,709.95,24792.0,176.51
2017-05-02,706.05,713.85,706.05,712.0,711.05,19893.0,141.34
2017-04-28,713.0,717.95,705.65,708.0,709.5,16571.0,118.02
2017-04-27,725.0,725.0,710.5,710.5,713.15,23956.0,171.85
2017-04-26,721.0,726.0,715.0,717.45,716.85,28422.0,204.91
2017-04-25,725.0,728.9,718.0,721.0,723.4,37811.0,273.55
2017-04-24,725.0,729.0,723.8,725.2,725.0,62729.0,455.1
2017-04-21,724.5,726.9,716.95,725.95,725.4,87795.0,636.27
2017-04-20,702.0,722.5,701.8,720.05,718.85,42679.0,305.26
2017-04-19,700.3,711.0,700.25,708.0,709.8,53483.0,379.14
2017-04-18,709.1,713.0,705.0,706.0,707.55,21393.0,151.58
2017-04-17,715.05,723.0,707.05,710.5,709.2,18290.0,130.31
2017-04-13,712.7,725.0,693.9,722.0,717.6,159957.0,1141.19
2017-04-12,713.1,719.0,710.0,715.0,713.5,27888.0,199.28
2017-04-11,720.1,724.2,713.1,715.5,718.3,23460.0,168.4
2017-04-10,710.0,727.0,710.0,723.0,722.6,130522.0,941.86
2017-04-07,712.85,717.2,709.0,709.0,710.85,31852.0,227.32
2017-04-06,717.0,718.8,713.1,714.0,716.75,16636.0,119.03
2017-04-05,716.1,725.55,712.0,719.9,718.1,49361.0,355.04
2017-04-03,705.05,727.8,705.05,718.0,722.25,103660.0,748.37
2017-03-31,717.5,723.05,711.1,711.1,714.85,69806.0,500.14
2017-03-30,712.0,725.0,710.5,717.25,716.95,201126.0,1447.02
2017-03-29,690.45,719.0,688.3,712.0,716.45,497033.0,3544.66
2017-03-28,687.2,695.0,683.25,691.85,690.8,28076.0,193.22
2017-03-27,693.4,693.4,685.15,687.85,688.05,16315.0,112.29
2017-03-24,696.9,697.0,689.75,690.6,691.0,15965.0,110.71
2017-03-23,690.3,699.9,680.05,685.4,684.2,17197.0,118.36
2017-03-22,706.0,706.0,692.1,693.0,693.1,17282.0,120.05
2017-03-21,703.8,709.9,696.0,703.65,705.9,33206.0,233.25
2017-03-20,712.9,712.9,700.3,701.3,702.8,30680.0,216.68
2017-03-17,704.2,713.9,704.2,707.35,711.2,77824.0,553.12
2017-03-16,709.0,715.0,706.4,711.0,712.55,94940.0,675.53
2017-03-15,702.15,712.3,702.15,709.5,710.2,73560.0,522.61
2017-03-14,705.0,711.2,697.4,705.1,706.4,254819.0,1800.24
2017-03-10,700.0,704.7,695.55,703.35,702.15,19916.0,139.85
2017-03-09,700.0,703.0,693.05,700.2,701.65,34272.0,240.24
2017-03-08,704.0,704.0,697.0,700.0,701.65,18734.0,131.35
2017-03-07,692.25,705.0,692.25,701.5,701.55,20975.0,147.07
2017-03-06,703.0,706.3,698.35,701.2,701.05,44229.0,309.87
2017-03-03,690.5,704.3,690.5,700.0,700.05,32643.0,228.52
2017-03-02,709.95,710.8,696.9,702.0,700.5,30376.0,213.3
2017-03-01,709.95,713.25,709.25,712.0,710.55,65231.0,464.09
2017-02-28,712.0,713.95,710.05,712.0,711.4,45670.0,324.78
2017-02-27,710.0,713.15,709.95,710.0,711.05,52144.0,370.65
2017-02-23,714.45,714.95,710.0,713.0,712.0,82198.0,584.96
2017-02-22,711.1,717.95,677.4,713.0,713.25,211504.0,1508.24
2017-02-21,700.25,713.15,696.85,711.6,711.7,211837.0,1501.4
2017-02-20,686.35,705.0,686.3,700.4,700.9,77283.0,540.15
2017-02-17,690.2,695.05,689.4,690.0,690.9,31114.0,214.93
2017-02-16,692.95,692.95,688.85,691.0,691.1,21362.0,147.49
2017-02-15,683.0,693.95,683.0,690.05,690.0,41801.0,288.46
2017-02-14,690.0,691.65,687.0,690.0,690.25,17670.0,121.93
2017-02-13,697.9,697.9,685.0,690.0,690.5,37221.0,256.79
2017-02-10,688.05,697.0,688.05,693.0,694.95,59397.0,412.17
2017-02-09,689.0,692.0,688.0,690.95,690.05,35869.0,247.56
2017-02-08,685.35,691.0,685.35,689.45,690.0,35317.0,243.64
2017-02-07,688.0,691.35,685.0,685.35,687.6,56264.0,386.82
2017-02-06,682.35,692.0,682.25,691.0,689.95,34541.0,237.84
2017-02-03,684.6,697.0,676.55,686.0,688.55,70156.0,481.78
2017-02-02,665.0,687.3,660.65,685.5,684.6,48546.0,329.41
2017-02-01,665.0,669.9,656.3,669.9,665.85,69910.0,461.09
2017-01-31,681.9,682.2,661.7,671.9,668.75,64335.0,431.94
2017-01-30,686.0,687.0,676.3,677.3,677.65,22061.0,149.83
2017-01-27,686.0,689.6,682.25,684.6,687.35,32948.0,226.33
2017-01-25,679.95,691.9,678.5,688.0,686.7,61397.0,422.17
2017-01-24,679.0,682.0,666.1,681.9,680.05,166760.0,1123.48
2017-01-23,675.0,678.0,661.3,665.5,665.2,66981.0,446.81
2017-01-20,687.8,687.8,677.3,677.7,678.1,141443.0,961.84
2017-01-19,685.05,702.85,682.0,685.7,685.2,52616.0,363.27
2017-01-18,680.5,694.9,677.3,684.0,690.65,40714.0,278.94
2017-01-17,678.05,681.0,678.05,681.0,680.45,23539.0,160.01
2017-01-16,681.0,681.0,677.4,680.9,680.1,16911.0,114.82
2017-01-13,681.0,682.9,676.3,679.0,680.0,20428.0,138.96
2017-01-12,680.0,684.0,678.6,680.0,680.1,17316.0,117.84
2017-01-11,680.05,683.0,678.0,680.0,680.0,23406.0,159.22
2017-01-10,671.35,685.05,671.35,680.8,680.05,24277.0,165.19
2017-01-09,680.05,682.9,662.0,680.1,680.75,40152.0,272.4
2017-01-06,686.6,695.0,680.0,680.9,680.05,29818.0,203.43
2017-01-05,703.4,703.4,690.0,691.4,691.6,48231.0,335.4
2017-01-04,680.0,705.5,677.0,697.0,698.0,169526.0,1178.42
2017-01-03,676.15,681.75,676.15,680.15,680.1,18783.0,127.74
2017-01-02,675.0,682.0,675.0,681.0,680.3,19785.0,134.52
2016-12-30,680.9,681.75,676.65,680.65,680.05,27436.0,186.6
2016-12-29,677.0,681.0,677.0,680.9,680.0,23680.0,160.99
2016-12-28,672.0,683.8,671.45,680.1,680.25,32450.0,220.62
2016-12-27,674.8,675.85,664.75,675.0,673.2,27440.0,184.0
2016-12-26,672.0,674.95,665.05,670.6,670.0,26618.0,178.43
2016-12-23,680.25,681.0,670.0,681.0,677.6,28239.0,190.96
2016-12-22,680.4,681.9,676.1,680.7,680.1,62846.0,427.25
2016-12-21,681.0,683.9,677.0,682.2,680.6,32546.0,221.55
2016-12-20,680.05,686.65,676.4,680.5,680.3,55539.0,378.84
2016-12-19,682.0,682.6,675.05,680.0,680.05,85785.0,583.56
2016-12-16,675.1,682.35,661.1,680.25,679.2,82753.0,560.91
2016-12-15,670.0,680.0,667.05,676.2,675.1,112072.0,756.31
2016-12-14,652.0,666.0,648.8,666.0,664.55,106713.0,704.26
2016-12-13,647.25,657.3,647.25,651.0,651.25,16398.0,106.98
2016-12-12,645.4,657.3,645.4,656.0,653.4,32850.0,213.99
2016-12-09,645.0,659.45,643.15,656.0,654.85,96947.0,631.14
2016-12-08,646.8,646.85,641.0,645.0,643.15,24397.0,157.13
2016-12-07,649.8,649.8,640.0,640.0,640.7,10140.0,65.25
2016-12-06,650.0,651.0,635.0,650.0,646.0,19963.0,129.19
2016-12-05,642.0,651.0,640.6,650.0,647.25,73799.0,475.44
2016-12-02,649.0,651.1,637.8,650.0,650.0,57125.0,370.53
2016-12-01,644.0,651.95,638.8,651.0,650.0,56649.0,366.87
2016-11-30,638.8,649.9,630.0,639.0,643.8,72517.0,466.16
2016-11-29,621.8,635.0,621.75,630.1,631.9,32418.0,203.96
2016-11-28,620.0,623.0,615.0,622.75,621.4,15063.0,93.57
2016-11-25,605.2,623.0,605.2,620.0,620.1,48951.0,301.52
2016-11-24,610.0,610.0,601.9,605.95,605.2,33135.0,200.66
2016-11-23,605.0,608.0,601.0,607.4,605.2,39071.0,235.95
2016-11-22,603.0,605.0,598.0,601.0,601.15,35265.0,212.02
2016-11-21,608.05,611.0,598.8,603.0,600.5,59932.0,360.38
2016-11-18,611.9,612.05,605.8,608.0,608.05,27527.0,167.4
2016-11-17,616.0,616.0,605.0,611.5,608.95,16698.0,101.85
2016-11-16,607.0,625.0,604.95,611.7,610.65,22818.0,139.43
2016-11-15,618.8,618.8,601.8,603.0,603.65,43648.0,264.92
2016-11-11,602.2,624.0,602.2,619.0,620.15,25009.0,155.03
2016-11-10,632.0,640.6,630.0,631.2,631.3,35377.0,224.87
2016-11-09,610.0,635.0,600.0,630.0,627.75,60189.0,370.8
2016-11-08,627.5,633.6,627.5,631.95,631.3,23470.0,148.12
2016-11-07,627.95,633.95,625.0,627.0,627.5,24451.0,153.56
2016-11-04,633.0,633.0,625.0,627.95,625.95,25061.0,157.33
2016-11-03,638.0,643.6,629.95,630.5,632.35,51299.0,324.9
2016-11-02,644.5,645.05,636.6,636.6,638.05,43871.0,280.4
2016-11-01,649.8,649.8,644.05,645.0,645.1,22450.0,145.0
2016-10-30,648.8,649.95,645.0,648.5,647.3,11447.0,74.1
2016-10-28,646.5,653.5,645.5,648.9,647.65,51873.0,336.22
2016-10-27,650.0,650.0,643.5,648.5,647.05,40774.0,263.53
2016-10-26,649.8,655.0,648.0,650.1,650.25,78843.0,513.5
2016-10-25,627.9,656.0,622.5,648.9,649.25,154266.0,994.57
2016-10-24,623.95,628.7,621.05,628.4,626.45,32897.0,205.66
2016-10-21,622.2,626.0,622.05,623.0,623.6,43074.0,268.56
2016-10-20,622.3,627.0,622.3,625.25,624.2,34073.0,212.88
2016-10-19,622.05,626.35,620.5,622.7,622.3,56797.0,354.17
2016-10-18,619.95,623.0,618.15,623.0,621.65,58766.0,364.85
2016-10-17,605.3,623.7,605.3,620.0,618.8,71527.0,441.95
2016-10-14,605.05,611.95,605.05,609.5,609.05,116210.0,706.9
2016-10-13,610.5,613.9,604.0,606.55,605.05,88286.0,536.86
2016-10-10,611.1,615.55,610.0,613.0,611.3,54276.0,332.53
2016-10-07,615.95,618.7,611.1,611.5,612.35,44229.0,271.39
2016-10-06,617.8,619.95,614.05,614.05,614.75,53393.0,329.5
2016-10-05,619.2,625.4,614.5,614.5,615.55,115421.0,714.08
2016-10-04,623.9,625.4,617.0,617.8,618.25,60276.0,374.16
2016-10-03,619.95,627.95,619.95,621.85,622.9,48049.0,299.26
2016-09-30,615.0,622.0,613.5,617.8,617.95,86260.0,533.87
2016-09-29,638.0,639.95,613.0,614.85,614.65,176659.0,1103.03
2016-09-28,637.0,644.5,635.0,637.75,638.35,55249.0,353.19
2016-09-27,639.95,640.1,635.0,639.25,637.75,40845.0,260.49
2016-09-26,638.5,640.0,636.0,639.95,638.2,44285.0,282.76
2016-09-23,640.0,648.5,637.0,639.0,638.55,136350.0,875.88
2016-09-22,632.55,646.8,632.55,638.2,638.5,102008.0,653.85
2016-09-21,641.8,642.0,638.05,638.05,639.35,41634.0,266.47
2016-09-20,641.9,646.3,637.4,639.05,639.0,69882.0,448.01
2016-09-19,637.85,648.0,635.0,640.15,640.3,96094.0,616.47
2016-09-16,637.95,639.95,634.0,635.45,635.0,76717.0,488.66
2016-09-15,637.0,641.95,635.0,635.3,635.65,69618.0,444.1
2016-09-14,641.0,648.7,635.0,636.0,636.95,135473.0,867.59
2016-09-12,638.6,651.0,638.6,639.85,639.75,122512.0,788.02
2016-09-09,650.3,651.95,640.8,642.85,643.05,148925.0,960.95
2016-09-08,657.0,657.0,645.0,651.5,650.3,112310.0,730.69
2016-09-07,653.9,664.0,652.1,655.5,655.2,142947.0,939.82
2016-09-06,645.95,663.0,645.0,651.25,651.55,186480.0,1218.94
2016-09-02,647.0,652.1,640.05,643.85,643.95,90488.0,583.9
2016-09-01,654.0,655.0,644.05,646.0,645.6,75558.0,490.86
2016-08-31,648.55,660.0,648.55,652.0,652.9,182760.0,1198.58
2016-08-30,644.0,659.85,641.5,653.0,651.75,141778.0,923.84
2016-08-29,644.5,647.45,639.8,640.0,640.9,66739.0,428.82
2016-08-26,655.05,659.9,646.6,648.0,647.8,86564.0,564.87
2016-08-25,640.05,664.8,640.05,654.0,653.9,283053.0,1844.16
2016-08-24,646.0,649.45,638.35,639.75,639.85,188676.0,1212.36
2016-08-23,655.1,661.9,644.0,645.0,645.95,221090.0,1443.47
2016-08-22,665.95,667.0,655.0,657.0,656.05,132422.0,874.17
2016-08-19,675.0,679.9,662.65,663.1,664.6,222490.0,1486.99
2016-08-18,679.8,681.85,674.0,674.9,674.95,152898.0,1036.65
2016-08-17,682.1,691.5,677.2,678.0,678.95,90769.0,620.16
2016-08-16,685.2,688.0,681.3,681.5,681.95,64845.0,443.31
2016-08-12,686.65,691.1,683.0,684.0,685.2,74615.0,512.07
2016-08-11,691.0,697.0,682.5,685.0,684.05,96842.0,666.43
2016-08-10,699.9,700.95,690.0,690.4,690.25,84904.0,589.07
2016-08-09,703.2,711.0,696.3,697.4,698.3,341932.0,2406.49
2016-08-08,700.0,708.0,696.3,699.1,700.9,347844.0,2445.71
2016-08-05,681.95,715.0,681.5,696.1,697.65,593783.0,4171.53
2016-08-04,682.05,684.0,679.1,681.5,681.05,134769.0,918.16
2016-08-03,685.0,688.0,677.7,680.0,680.0,116318.0,793.67
2016-08-02,685.05,690.0,682.5,683.5,683.65,268056.0,1836.37
2016-08-01,694.85,696.35,682.6,684.95,686.9,347573.0,2394.88
2016-07-29,690.0,700.0,685.0,693.2,691.8,726870.0,5042.75
2016-07-28,691.6,697.0,677.85,679.4,679.9,375033.0,2580.43
2016-07-27,692.1,697.65,687.05,689.15,689.9,168708.0,1167.76
2016-07-26,694.9,701.5,690.0,693.2,692.15,312995.0,2175.02
2016-07-25,701.0,701.0,692.0,693.8,693.05,260240.0,1808.37
2016-07-22,700.0,708.7,696.2,697.3,700.0,820402.0,5756.01
2016-07-21,667.0,710.0,666.0,696.95,697.6,11824029.0,82441.83
